image_path,label,subject_id
data/processed/nitk/right_837a.jpg,right,nitk
data/processed/nitk/right_861a (2).jpg,right,nitk
data/processed/nitk/right_455o.jpg,right,nitk
data/processed/nitk/right_567__.jpg,right,nitk
data/processed/nitk/right_134a.jpg,right,nitk
data/processed/nitk/right_421a.jpg,right,nitk
data/processed/nitk/right_130_.jpg,right,nitk
data/processed/nitk/right_510o.jpg,right,nitk
data/processed/nitk/right_140o.jpg,right,nitk
data/processed/nitk/right_1044a.jpg,right,nitk
data/processed/nitk/right_7a.jpg,right,nitk
data/processed/nitk/right_972a.jpg,right,nitk
data/processed/nitk/right_83a.jpg,right,nitk
data/processed/nitk/right_649_.jpg,right,nitk
data/processed/nitk/right_291_3_.jpg,right,nitk
data/processed/nitk/right_image_29.jpg,right,nitk
data/processed/nitk/right_547o.jpg,right,nitk
data/processed/nitk/right_295_4_.jpg,right,nitk
data/processed/nitk/right_394o.jpg,right,nitk
data/processed/nitk/right_312__.jpg,right,nitk
data/processed/nitk/right_414o.jpg,right,nitk
data/processed/nitk/right_551o.jpg,right,nitk
data/processed/nitk/right_1005a.jpg,right,nitk
data/processed/nitk/right_933a.jpg,right,nitk
data/processed/nitk/right_319a.jpg,right,nitk
data/processed/nitk/right_228o.jpg,right,nitk
data/processed/nitk/right_749a.jpg,right,nitk
data/processed/nitk/right_383_3_.jpg,right,nitk
data/processed/nitk/right_828a (2).jpg,right,nitk
data/processed/nitk/right_399_4_.jpg,right,nitk
data/processed/nitk/right_299_4_.jpg,right,nitk
data/processed/nitk/right_122a.jpg,right,nitk
data/processed/nitk/right_443o.jpg,right,nitk
data/processed/nitk/right_156o.jpg,right,nitk
data/processed/nitk/right_126_.jpg,right,nitk
data/processed/nitk/right_437a.jpg,right,nitk
data/processed/nitk/right_920a (2).jpg,right,nitk
data/processed/nitk/right_290o.jpg,right,nitk
data/processed/nitk/right_277__.jpg,right,nitk
data/processed/nitk/right_921a (2).jpg,right,nitk
data/processed/nitk/right_1029a.jpg,right,nitk
data/processed/nitk/right_393_2_.jpg,right,nitk
data/processed/nitk/right_438o.jpg,right,nitk
data/processed/nitk/right_293_2_.jpg,right,nitk
data/processed/nitk/right_341o.jpg,right,nitk
data/processed/nitk/right_270a.jpg,right,nitk
data/processed/nitk/right_765a.jpg,right,nitk
data/processed/nitk/right_204o.jpg,right,nitk
data/processed/nitk/right_253__.jpg,right,nitk
data/processed/nitk/right_480o.jpg,right,nitk
data/processed/nitk/right_948a.jpg,right,nitk
data/processed/nitk/right_384_1_.jpg,right,nitk
data/processed/nitk/right_494_7_.jpg,right,nitk
data/processed/nitk/right_583__.jpg,right,nitk
data/processed/nitk/right_253o.jpg,right,nitk
data/processed/nitk/right_362a.jpg,right,nitk
data/processed/nitk/right_498_7_.jpg,right,nitk
data/processed/nitk/right_496o.jpg,right,nitk
data/processed/nitk/right_118a.jpg,right,nitk
data/processed/nitk/right_479o.jpg,right,nitk
data/processed/nitk/right_388_1_.jpg,right,nitk
data/processed/nitk/right_183o.jpg,right,nitk
data/processed/nitk/right_300o.jpg,right,nitk
data/processed/nitk/right_image_28.jpg,right,nitk
data/processed/nitk/right_506__.jpg,right,nitk
data/processed/nitk/right_image_14.jpg,right,nitk
data/processed/nitk/right_374a.jpg,right,nitk
data/processed/nitk/right_909a.jpg,right,nitk
data/processed/nitk/right_639.jpg,right,nitk
data/processed/nitk/right_266a.jpg,right,nitk
data/processed/nitk/right_885a (2).jpg,right,nitk
data/processed/nitk/right_212o.jpg,right,nitk
data/processed/nitk/right_289a.jpg,right,nitk
data/processed/nitk/right_235_2_.jpg,right,nitk
data/processed/nitk/right_504__.jpg,right,nitk
data/processed/nitk/right_335_2_.jpg,right,nitk
data/processed/nitk/right_645_.jpg,right,nitk
data/processed/nitk/right_354a.jpg,right,nitk
data/processed/nitk/right_700_.jpg,right,nitk
data/processed/nitk/right_211a.jpg,right,nitk
data/processed/nitk/right_320o.jpg,right,nitk
data/processed/nitk/right_341_1_.jpg,right,nitk
data/processed/nitk/right_248_2_.jpg,right,nitk
data/processed/nitk/right_291__.jpg,right,nitk
data/processed/nitk/right_300_7_.jpg,right,nitk
data/processed/nitk/right_613.jpg,right,nitk
data/processed/nitk/right_458_4_.jpg,right,nitk
data/processed/nitk/right_1048a.jpg,right,nitk
data/processed/nitk/right_607.jpg,right,nitk
data/processed/nitk/right_303a.jpg,right,nitk
data/processed/nitk/right_753a.jpg,right,nitk
data/processed/nitk/right_363_7_.jpg,right,nitk
data/processed/nitk/right_image_16.jpg,right,nitk
data/processed/nitk/right_822a (2).jpg,right,nitk
data/processed/nitk/right_421_3_.jpg,right,nitk
data/processed/nitk/right_370_3_.jpg,right,nitk
data/processed/nitk/right_246a.jpg,right,nitk
data/processed/nitk/right_377o.jpg,right,nitk
data/processed/nitk/right_823a (2).jpg,right,nitk
data/processed/nitk/right_446_4_.jpg,right,nitk
data/processed/nitk/right_317_4_.jpg,right,nitk
data/processed/nitk/right_411.jpg,right,nitk
data/processed/nitk/right_356_2_.jpg,right,nitk
data/processed/nitk/right_929a.jpg,right,nitk
data/processed/nitk/right_224o.jpg,right,nitk
data/processed/nitk/right_361o.jpg,right,nitk
data/processed/nitk/right_366_4_.jpg,right,nitk
data/processed/nitk/right_250a.jpg,right,nitk
data/processed/nitk/right_437_4_.jpg,right,nitk
data/processed/nitk/right_253_1_.jpg,right,nitk
data/processed/nitk/right_402_1_.jpg,right,nitk
data/processed/nitk/right_301_3_.jpg,right,nitk
data/processed/nitk/right_21a.jpg,right,nitk
data/processed/nitk/right_895a.jpg,right,nitk
data/processed/nitk/right_1009a.jpg,right,nitk
data/processed/nitk/right_378_4_.jpg,right,nitk
data/processed/nitk/right_429_4_.jpg,right,nitk
data/processed/nitk/right_653_.jpg,right,nitk
data/processed/nitk/right_420_7_.jpg,right,nitk
data/processed/nitk/right_581__.jpg,right,nitk
data/processed/nitk/right_230_1_.jpg,right,nitk
data/processed/nitk/right_461_1_.jpg,right,nitk
data/processed/nitk/right_362_3_.jpg,right,nitk
data/processed/nitk/right_76a.jpg,right,nitk
data/processed/nitk/right_305_4_.jpg,right,nitk
data/processed/nitk/right_454_4_.jpg,right,nitk
data/processed/nitk/right_344_2_.jpg,right,nitk
data/processed/nitk/right_968a.jpg,right,nitk
data/processed/nitk/right_244_2_.jpg,right,nitk
data/processed/nitk/right_401_4_.jpg,right,nitk
data/processed/nitk/right_350_4_.jpg,right,nitk
data/processed/nitk/right_628_.jpg,right,nitk
data/processed/nitk/right_769a.jpg,right,nitk
data/processed/nitk/right_293a.jpg,right,nitk
data/processed/nitk/right_151_.jpg,right,nitk
data/processed/nitk/right_915a (2).jpg,right,nitk
data/processed/nitk/right_913a.jpg,right,nitk
data/processed/nitk/right_265_1_.jpg,right,nitk
data/processed/nitk/right_337_3_.jpg,right,nitk
data/processed/nitk/right_155a.jpg,right,nitk
data/processed/nitk/right_275__.jpg,right,nitk
data/processed/nitk/right_457_1_.jpg,right,nitk
data/processed/nitk/right_416_7_.jpg,right,nitk
data/processed/nitk/right_347_7_.jpg,right,nitk
data/processed/nitk/right_372_2_.jpg,right,nitk
data/processed/nitk/right_944a.jpg,right,nitk
data/processed/nitk/right_272_2_.jpg,right,nitk
data/processed/nitk/right_526o.jpg,right,nitk
data/processed/nitk/right_417a.jpg,right,nitk
data/processed/nitk/right_199o.jpg,right,nitk
data/processed/nitk/right_333_4_.jpg,right,nitk
data/processed/nitk/right_801a.jpg,right,nitk
data/processed/nitk/right_686_.jpg,right,nitk
data/processed/nitk/right_397a.jpg,right,nitk
data/processed/nitk/right_413_4_.jpg,right,nitk
data/processed/nitk/right_410.jpg,right,nitk
data/processed/nitk/right_358_3_.jpg,right,nitk
data/processed/nitk/right_203_2_.jpg,right,nitk
data/processed/nitk/right_409_3_.jpg,right,nitk
data/processed/nitk/right_378a.jpg,right,nitk
data/processed/nitk/right_110_.jpg,right,nitk
data/processed/nitk/right_248__.jpg,right,nitk
data/processed/nitk/right_336_7_.jpg,right,nitk
data/processed/nitk/right_952a.jpg,right,nitk
data/processed/nitk/right_567_7_.jpg,right,nitk
data/processed/nitk/right_image_17.jpg,right,nitk
data/processed/nitk/right_426_1_.jpg,right,nitk
data/processed/nitk/right_475o.jpg,right,nitk
